Epoch,Train Loss,Train IoU,Train Dice,Val Loss,Val IoU,Val Dice
1,0.6976872682571411,0.2725087106227875,0.42830151319503784,0.7211811542510986,7.262163786991849e-11,7.262163786991849e-11
2,0.6385310292243958,0.30084067583084106,0.4625326991081238,0.7199865579605103,7.262163786991849e-11,7.262163786991849e-11
3,0.5919246077537537,0.3269236385822296,0.4927542805671692,0.7191745638847351,7.262163786991849e-11,7.262163786991849e-11
4,0.5515979528427124,0.3521249294281006,0.5208467245101929,0.718271017074585,7.262163786991849e-11,7.262163786991849e-11
5,0.5147953629493713,0.3771010637283325,0.547673761844635,0.716668963432312,7.262163786991849e-11,7.262163786991849e-11
6,0.48003798723220825,0.4023767411708832,0.5738497376441956,0.7139892578125,0.00029048664146102965,0.0005808044807054102
7,0.44661572575569153,0.4282662570476532,0.5997008681297302,0.7098987102508545,0.03217138722538948,0.062337297946214676
8,0.41421785950660706,0.4548962414264679,0.6253315210342407,0.7040157318115234,0.1729847490787506,0.2949479818344116
9,0.3830393850803375,0.4820006489753723,0.6504729390144348,0.6959136724472046,0.34163519740104675,0.5092818140983582
10,0.3536806106567383,0.508888840675354,0.6745213270187378,0.6851603388786316,0.5027156472206116,0.6690762042999268
11,0.32666072249412537,0.5348026156425476,0.6969009041786194,0.671497642993927,0.6541881561279297,0.7909477353096008
12,0.30176207423210144,0.5595923662185669,0.7176136374473572,0.6548633575439453,0.7695172429084778,0.8697482347488403
13,0.27930784225463867,0.5823440551757812,0.736052393913269,0.6355106234550476,0.8338701725006104,0.909410297870636
14,0.2595122754573822,0.6027282476425171,0.7521278262138367,0.6140897870063782,0.8562458157539368,0.9225565195083618
15,0.24239610135555267,0.6215447783470154,0.7666082382202148,0.590768039226532,0.8629116415977478,0.9264118075370789
16,0.22731900215148926,0.6386011838912964,0.7794467210769653,0.5660868883132935,0.8599229454994202,0.9246866106987
17,0.21527940034866333,0.6528882384300232,0.7899968028068542,0.5411567091941833,0.8549686074256897,0.9218146204948425
18,0.2045559138059616,0.6658462882041931,0.799409031867981,0.5172973871231079,0.8528763055801392,0.9205971360206604
19,0.19528323411941528,0.6771784424781799,0.8075210452079773,0.4952349066734314,0.8513081073760986,0.9196828007698059
20,0.1873495876789093,0.6871088743209839,0.8145400285720825,0.4743725061416626,0.8504094481468201,0.9191581606864929
21,0.1806143820285797,0.6957646012306213,0.8205909729003906,0.45337536931037903,0.8488190770149231,0.9182283878326416
22,0.17492422461509705,0.7031586170196533,0.8257112503051758,0.43268218636512756,0.848120927810669,0.9178197383880615
23,0.16981194913387299,0.7097414135932922,0.8302325010299683,0.4137752652168274,0.8469045162200928,0.9171069860458374
24,0.16554981470108032,0.7153815627098083,0.8340786695480347,0.3955689072608948,0.8469565510749817,0.9171375036239624
25,0.16172821819782257,0.7206007242202759,0.8376152515411377,0.3754715919494629,0.8486486673355103,0.9181286692619324
26,0.1584666222333908,0.7250070571899414,0.8405844569206238,0.3598176836967468,0.8515498638153076,0.9198238253593445
27,0.15562200546264648,0.7288621068000793,0.8431697487831116,0.3436483144760132,0.8531813025474548,0.9207747578620911
28,0.15308742225170135,0.7322742938995361,0.8454484343528748,0.32948142290115356,0.854158878326416,0.9213438034057617
29,0.15086811780929565,0.7354402542114258,0.8475546836853027,0.31630897521972656,0.8565988540649414,0.9227613806724548
30,0.1489417552947998,0.7380574941635132,0.8492900729179382,0.3106237053871155,0.8609665632247925,0.9252896904945374
31,0.1473095566034317,0.7406219244003296,0.8509854078292847,0.2869449257850647,0.8693206906318665,0.9300926327705383
32,0.1456209421157837,0.7427724003791809,0.8524032235145569,0.2917105555534363,0.8716828227043152,0.9314428567886353
33,0.1438589096069336,0.7453773617744446,0.8541160225868225,0.27447813749313354,0.8799207806587219,0.9361253976821899
34,0.1423582136631012,0.7474624514579773,0.8554832935333252,0.2582380175590515,0.8846697211265564,0.9388061165809631
35,0.1411423683166504,0.7491510510444641,0.8565881848335266,0.26440390944480896,0.88479083776474,0.9388743042945862
36,0.13984641432762146,0.7511295080184937,0.8578799962997437,0.24247553944587708,0.8981215953826904,0.946326732635498
37,0.13861343264579773,0.7528994679450989,0.8590332865715027,0.2218172252178192,0.9084911346435547,0.9520516991615295
38,0.1375827193260193,0.7543466091156006,0.8599744439125061,0.22525614500045776,0.9096313714981079,0.9526774883270264
39,0.13647787272930145,0.7560139298439026,0.8610568642616272,0.2113979160785675,0.920639157295227,0.9586799740791321
40,0.13548626005649567,0.7574910521507263,0.86201411485672,0.18417084217071533,0.937819242477417,0.9679120182991028
41,0.1345733404159546,0.7587805390357971,0.8628484606742859,0.17911532521247864,0.9437324404716492,0.971051812171936
42,0.13361623883247375,0.7601904273033142,0.8637592792510986,0.17881138622760773,0.947433590888977,0.973007321357727
43,0.13281863927841187,0.761444091796875,0.8645679950714111,0.15969832241535187,0.9600502252578735,0.9796179533004761
44,0.13192187249660492,0.7627242207527161,0.8653925657272339,0.14700353145599365,0.9680140614509583,0.983747124671936
45,0.13117659091949463,0.7638187408447266,0.8660966753959656,0.14844030141830444,0.9690358638763428,0.9842745065689087
46,0.1303609311580658,0.7650694251060486,0.8669000864028931,0.1439899206161499,0.9723889827728271,0.986001193523407
47,0.12963561713695526,0.7661728262901306,0.8676080107688904,0.1333252191543579,0.9795831441879272,0.9896862506866455
48,0.1289047747850418,0.7672256827354431,0.8682826161384583,0.13148991763591766,0.9823084473609924,0.9910752773284912
49,0.12819823622703552,0.7683082818984985,0.8689754605293274,0.13384126126766205,0.9818168878555298,0.9908250570297241
50,0.12752974033355713,0.7693570852279663,0.869645893573761,0.13056325912475586,0.9845537543296814,0.9922167658805847
